age,job,education,balance,day,month,duration
33,0,1,920,13,1,111
26,4,1,2613,1,6,326
26,9,1,33,23,5,91
31,9,2,26,18,9,419
31,0,1,430,15,0,103
44,1,1,3060,20,9,113
33,9,2,3689,27,1,445
58,4,2,4152,30,0,750
44,4,2,3091,17,6,331
26,9,1,668,28,8,576
45,1,0,-66,6,8,263
53,3,1,292,12,6,92
31,10,1,6,4,6,121
34,9,1,47,25,1,132
34,4,2,575,9,7,116
51,1,0,0,9,6,166
67,5,0,2027,15,7,161
39,4,2,1738,14,8,633
28,0,1,330,2,6,226
24,0,2,1141,23,8,230
41,1,1,338,14,8,87
36,1,1,324,16,5,830
46,9,1,488,5,6,92
63,2,2,2707,16,9,57
56,9,1,751,15,8,43
36,4,2,495,14,6,187
25,8,0,373,11,8,819
39,9,1,291,7,8,882
47,0,1,555,17,10,478
36,8,3,172,12,6,81
48,1,1,1596,14,8,760
53,4,2,2894,5,8,163
29,7,1,30,23,5,74
37,9,2,197,15,3,531
32,7,1,6983,7,1,255
52,3,0,135,8,1,172
54,4,2,154,9,8,155
31,4,2,156,13,1,657
39,9,1,1587,8,11,108
36,1,3,1023,4,3,184
46,4,2,2904,30,8,984
53,4,2,6571,3,3,208
33,2,1,3140,21,9,7
47,3,1,1453,12,6,303
53,1,0,343,25,5,616
27,1,1,-27,23,6,498
45,1,1,640,4,8,447
42,4,0,5310,25,9,968
26,4,2,3,23,5,106
30,8,2,3026,23,5,251
43,7,1,43,18,8,199
40,0,1,664,21,5,1342
53,1,1,6112,3,3,211
47,1,1,802,12,8,289
41,4,2,3016,14,5,80
49,4,2,7443,19,6,293
55,4,2,0,3,9,222
59,4,2,474,21,1,252
50,9,1,3370,2,6,160
40,1,0,1206,16,5,201
58,5,1,13,7,1,92
36,9,1,1345,18,9,82
49,4,2,151,8,5,97
33,8,1,1536,9,3,359
75,5,2,2991,22,0,240
36,9,2,571,31,5,46
75,5,1,3771,16,10,186
36,8,3,417,10,1,304
37,7,1,1543,16,3,138
59,0,1,2166,7,8,574
40,1,0,2129,20,0,1156
48,9,1,606,19,1,231
57,5,1,168,7,1,342
24,9,1,556,8,3,278
42,4,0,0,19,9,73
21,1,1,682,6,7,266
30,1,1,7773,20,9,705
45,4,2,6200,29,5,103
28,1,1,61,21,1,744
56,9,1,0,29,0,152
35,1,0,526,2,3,914
41,9,1,4047,18,3,343
55,1,2,325,8,8,693
46,6,2,2421,19,9,1084
30,9,1,54,11,1,194
48,10,1,926,15,3,382
34,3,2,677,9,3,37
30,0,1,-213,27,8,751
53,4,2,37,28,1,51
49,2,2,313,17,9,42
54,4,2,1114,21,9,1195
39,9,1,1022,20,8,1410
29,3,2,2196,5,1,215
44,1,0,1308,19,6,161
35,9,1,1368,27,8,329
38,4,2,5432,17,0,707
47,6,0,574,20,9,137
31,4,1,0,11,1,720
60,0,1,7336,31,7,494
57,5,0,720,17,3,202
43,3,1,-177,21,8,172
27,0,3,5,17,5,225
33,4,2,2599,30,0,1373
31,9,2,0,13,8,164
39,4,2,839,11,10,365
36,1,1,153,8,8,263
36,7,0,92,5,6,244
36,0,1,1954,20,9,158
42,9,1,994,25,8,365
42,9,1,0,30,5,351
54,10,1,1664,2,6,257
42,2,1,335,12,8,580
36,1,1,0,4,3,235
33,4,2,8514,20,1,131
40,0,1,-283,20,6,253
35,4,1,839,23,8,50
31,0,2,4041,30,0,1034
41,0,1,110,5,3,76
59,5,1,1026,5,9,669
28,1,3,913,27,8,580
58,6,2,1636,15,0,187
27,8,3,132,14,5,276
37,0,1,96,7,1,155
31,4,2,1224,20,9,75
25,9,1,4859,12,4,227
47,1,0,2749,30,0,774
28,8,1,1377,14,8,688
53,5,1,4968,6,8,109
66,5,2,1948,28,4,216
32,9,1,-114,12,1,155
29,4,2,247,16,11,143
34,0,1,0,6,8,153
40,7,0,1082,30,8,854
31,9,2,1081,24,0,202
42,1,0,156,15,8,7
46,1,0,333,31,5,284
38,4,2,1515,31,5,42
29,4,2,0,6,8,667
59,0,1,4744,4,11,879
34,9,2,184,30,5,87
29,9,2,673,9,3,835
32,7,1,24,12,8,185
41,1,1,1384,15,8,1162
42,4,2,1435,7,8,1148
43,7,1,21,3,3,203
34,1,1,320,12,9,413
42,9,1,214,16,0,127
39,4,1,4314,20,9,141
40,1,0,-22,19,8,84
42,4,2,783,19,9,77
44,6,1,304,9,3,15
36,4,1,1989,17,6,344
63,5,1,2030,6,0,61
49,4,2,2139,5,1,278
30,0,1,585,2,3,7
23,8,1,9216,5,6,471
42,1,1,879,18,9,140
37,4,2,2987,13,8,216
30,4,2,4889,11,1,545
46,0,1,2232,13,3,121
51,2,2,5254,23,10,134
42,1,0,2003,17,0,177
55,0,3,2038,9,0,394
29,10,0,1374,17,9,309
48,0,1,191,5,3,238
34,7,2,371,20,8,77
28,1,1,0,15,8,6
32,9,2,4071,30,6,319
74,5,1,935,5,8,226
32,1,0,-6,6,8,169
53,3,0,2581,21,10,828
50,4,1,2910,29,5,790
39,0,1,-367,16,0,667
48,4,2,3842,1,6,215
55,10,0,274,9,3,7
56,5,0,1906,19,6,45
35,4,2,71,30,0,510
35,9,1,126,22,1,112
51,9,2,1347,10,3,160
38,7,0,175,17,6,132
31,4,2,4148,21,9,316
44,1,1,2885,30,8,63
30,0,1,39,28,5,101
55,5,1,282,5,6,99
30,4,2,232,15,5,219
30,4,2,136,23,8,152
49,9,2,523,2,6,712
41,6,3,1377,15,8,111
33,0,2,79,22,10,249
44,4,2,1090,19,5,204
56,5,2,281,3,7,96
40,4,2,158,30,0,712
28,9,1,593,19,6,202
43,0,1,733,19,9,1102
51,9,2,11222,21,9,126
55,4,1,2693,22,11,182
39,3,1,1444,19,9,100
47,9,1,1981,21,5,919
57,0,1,6005,8,8,704
41,4,2,107,17,5,122
31,7,3,-82,31,5,543
29,7,0,-102,4,5,134
65,5,0,276,22,0,229
60,1,0,493,18,1,671
38,4,3,76,16,7,261
31,10,2,330,13,4,260
39,0,1,83,30,5,69
28,4,2,866,23,7,191
31,9,1,138,26,8,91
47,4,2,2306,6,1,239
38,4,2,1276,17,8,272
32,9,2,703,3,3,489
53,5,0,1068,28,4,200
32,1,0,388,15,0,171
